narrative_id,author_type,sentence_index,sentence_text,is_passive,is_agentless,has_first_person,has_agency_verb,agency_score,voice,compound,positive,negative,neutral,sentiment_label,intensity,affective_words
C001,caregiver,0,This is the day we get down to work.,False,False,True,False,0.8,active,0.0,0.0,0.0,1.0,neutral,0.0,0
C001,caregiver,1,"Yesterday, the guideline panel sat through lectures on guideline methodology, debated the quality rating criteria for the individual studies, and approved the recommendation grading system.",False,False,False,False,0.5,active,0.4215,0.104,0.0,0.896,positive,0.4215,0
C001,caregiver,2,My job doesn't have an official title.,False,False,False,False,0.5,active,0.0,0.0,0.0,1.0,neutral,0.0,0
C001,caregiver,3,"As a general internist, I am almost never a clinical expert on the panels I facilitate.",False,False,True,False,0.8,active,0.0,0.0,0.0,1.0,neutral,0.0,1
C001,caregiver,4,I am chosen for my guideline methods experience.,True,True,True,True,0.5,passive,0.0,0.0,0.0,1.0,neutral,0.0,0
C001,caregiver,5,"Part guide, part policeman, I support the panel members through the process, acting as a resource for the finer procedural points and bringing them back to the evidence when they stray.",False,False,True,False,0.8,active,0.4019,0.083,0.0,0.917,positive,0.4019,0
C001,caregiver,6,This panel is like many others.,False,False,False,False,0.5,active,0.3612,0.333,0.0,0.667,positive,0.3612,0
C001,caregiver,7,The quipster across from me has probably been making jokes since kindergarten.,False,False,False,False,0.5,active,0.25,0.154,0.0,0.846,positive,0.25,0
C001,caregiver,8,The quiet one at the end—I take note of her.,False,False,True,False,0.8,active,0.0,0.0,0.0,1.0,neutral,0.0,0
C001,caregiver,9,"She may have some important points, but the group will need to be stilled to hear them.",True,True,False,False,0.0,passive,0.1027,0.08,0.0,0.92,positive,0.1027,0
C001,caregiver,10,I try to measure up the chair.,False,False,True,False,0.8,active,0.0,0.0,0.0,1.0,neutral,0.0,0
C001,caregiver,11,Can he participate but limit his own desire to join in?,False,False,False,False,0.5,active,0.7469,0.414,0.0,0.586,positive,0.7469,0
C001,caregiver,12,Will he draw out his colleagues' expertise?,False,False,False,False,0.5,active,0.0,0.0,0.0,1.0,neutral,0.0,0
C001,caregiver,13,Will he help me when it's time to move on?,False,False,False,False,0.5,active,0.4019,0.231,0.0,0.769,positive,0.4019,0
C001,caregiver,14,I have learned over the years that panel members often have wells of knowledge and talent that they sometimes don't share.,False,False,True,False,0.8,active,0.4427,0.194,0.076,0.729,positive,0.4427,0
C001,caregiver,15,It's my job to engage them.,False,False,False,False,0.5,active,0.34,0.324,0.0,0.676,positive,0.34,0
C001,caregiver,16,We get started.,True,True,True,False,0.3,passive,0.0,0.0,0.0,1.0,neutral,0.0,0
C001,caregiver,17,We tackle the easy question first.,False,False,True,True,1.0,active,0.4404,0.367,0.0,0.633,positive,0.4404,0
C001,caregiver,18,"There is a large body of good-quality evidence, which I present to the group.",False,False,True,False,0.8,active,0.0,0.0,0.0,1.0,neutral,0.0,0
C001,caregiver,19,"Slowly, hesitantly, the panel members wade through the evidence tables.",False,False,False,False,0.5,active,-0.296,0.0,0.196,0.804,negative,0.296,0
C001,caregiver,20,I allow the debate to move freely—this is necessary.,False,False,True,False,0.8,active,0.2263,0.192,0.0,0.808,positive,0.2263,0
C001,caregiver,21,"When some people start looking bored, I move the panel to a close.",False,False,True,False,0.8,active,-0.2732,0.0,0.149,0.851,negative,0.2732,0
C001,caregiver,22,It's time to write the recommendation.,False,False,False,False,0.5,active,0.0,0.0,0.0,1.0,neutral,0.0,0
C001,caregiver,23,This panel is particularly good; everyone participates.,False,False,False,False,0.5,active,0.4927,0.347,0.0,0.653,positive,0.4927,0
C001,caregiver,24,"The recommendation sounds terrible at first—too long, too many words, unclear.",False,False,False,False,0.5,active,-0.6249,0.0,0.362,0.638,negative,0.6249,0
C001,caregiver,25,Who knew it was so hard to write a simple sentence?,False,False,False,False,0.5,active,-0.1447,0.107,0.153,0.74,negative,0.1447,0
C001,caregiver,26,The panel is discouraged.,True,True,False,False,0.0,passive,-0.4019,0.0,0.474,0.526,negative,0.4019,0
C001,caregiver,27,I volunteer to put up a sentence.,False,False,True,False,0.8,active,0.0772,0.178,0.0,0.822,positive,0.0772,0
C001,caregiver,28,"They are happy to tackle it, because I am neither friend nor colleague.",False,False,True,False,0.8,active,0.2668,0.214,0.152,0.635,positive,0.2668,0
C001,caregiver,29,They play with the words.,False,False,False,False,0.5,active,0.34,0.375,0.0,0.625,positive,0.34,0
C001,caregiver,30,Should or must?,False,False,False,False,0.5,active,0.0,0.0,0.0,1.0,neutral,0.0,0
C001,caregiver,31,"Smokers, people who smoke, or tobacco users?",False,False,False,False,0.5,active,0.0,0.0,0.0,1.0,neutral,0.0,0
C001,caregiver,32,Patients or clients?,False,False,False,False,0.5,active,0.0,0.0,0.0,1.0,neutral,0.0,0
C001,caregiver,33,"Willing to quit, attempting to quit, or making a quit attempt?",False,False,False,False,0.5,active,0.0,0.0,0.0,1.0,neutral,0.0,0
C001,caregiver,34,"Readers of guidelines often dismiss the recommendations as poorly written, not recognizing the effort the panel members give to crafting the best sentence possible.",False,False,False,False,0.5,active,0.6705,0.2,0.0,0.8,positive,0.6705,0
C001,caregiver,35,I know how hard panel members try.,False,False,True,False,0.8,active,-0.1027,0.0,0.189,0.811,negative,0.1027,0
C001,caregiver,36,"When they hesitate, bogged down by the rules, I challenge them and remind them of their job: They are here to provide guidance.",False,False,True,True,1.0,active,-0.2023,0.053,0.086,0.861,negative,0.2023,0
C001,caregiver,37,What does the panel really want to say?,False,False,False,False,0.5,active,0.1513,0.185,0.0,0.815,positive,0.1513,0
C001,caregiver,38,I play the part of the nonexpert clinician.,False,False,True,False,0.8,active,0.34,0.255,0.0,0.745,positive,0.34,0
C001,caregiver,39,What do I want to hear?,False,False,True,False,0.8,active,0.0772,0.206,0.0,0.794,positive,0.0772,0
C001,caregiver,40,I urge them to write something as specific and unambiguous as the evidence will allow.,False,False,True,False,0.8,active,0.2263,0.119,0.0,0.881,positive,0.2263,0
C001,caregiver,41,We finish the sentence and vote on it.,False,False,True,False,0.8,active,0.0772,0.157,0.0,0.843,positive,0.0772,0
C001,caregiver,42,This panel decided that 80% approval was required to move to the next part; we have unanimous support.,True,True,True,True,0.5,passive,0.7003,0.266,0.0,0.734,positive,0.7003,0
C001,caregiver,43,We then vote on the level of evidence.,False,False,True,False,0.8,active,0.0,0.0,0.0,1.0,neutral,0.0,0
C001,caregiver,44,The strength of the recommendation?,False,False,False,False,0.5,active,0.4939,0.444,0.0,0.556,positive,0.4939,1
C001,caregiver,45,"“Strong,” the panel members decide.",False,False,False,True,0.7,active,0.0,0.0,0.0,1.0,neutral,0.0,0
C001,caregiver,46,The first recommendation is complete.,False,False,False,False,0.5,active,0.0,0.0,0.0,1.0,neutral,0.0,0
C001,caregiver,47,Everyone is pleased and relieved.,False,False,False,False,0.5,active,0.6705,0.647,0.0,0.353,positive,0.6705,0
C001,caregiver,48,It has taken half the day.,False,False,False,False,0.5,active,0.0,0.0,0.0,1.0,neutral,0.0,0
C001,caregiver,49,"Midway through lunch, we begin again.",False,False,True,False,0.8,active,0.0,0.0,0.0,1.0,neutral,0.0,0
C001,caregiver,50,"In the afternoon, panel members, more comfortable with the process, take over from me and present the evidence to their colleagues.",False,False,False,False,0.5,active,0.5563,0.152,0.0,0.848,positive,0.5563,0
C001,caregiver,51,They become even more engaged.,False,False,False,False,0.5,active,0.4576,0.428,0.0,0.572,positive,0.4576,0
C001,caregiver,52,"They have the hang of it now, and the process moves quickly.",False,False,False,False,0.5,active,0.0,0.0,0.0,1.0,neutral,0.0,0
C001,caregiver,53,"Soon after, we lose track of time, and the recommendations flow of their own accord.",False,False,True,True,1.0,active,-0.4019,0.0,0.162,0.838,negative,0.4019,0
C001,caregiver,54,I love this part.,False,False,True,False,0.8,active,0.6369,0.583,0.0,0.417,positive,0.6369,0
C001,caregiver,55,We finish the afternoon with 5 recommendations to our credit.,False,False,True,False,0.8,active,0.3818,0.224,0.0,0.776,positive,0.3818,0
C001,caregiver,56,The guideline is but half complete.,False,False,False,False,0.5,active,0.0,0.0,0.0,1.0,neutral,0.0,0
C001,caregiver,57,"Many teleconferences will follow, but the bonds have been forged, the training has been assimilated, and the group departs content with a job well-done.",True,True,False,False,0.0,passive,0.0,0.0,0.0,1.0,neutral,0.0,0
C001,caregiver,58,"I make my way home, exhausted.",False,False,True,False,0.8,active,-0.3612,0.0,0.333,0.667,negative,0.3612,0
C001,caregiver,59,"The first time my father took me to see an orchestra, I asked him who the man at the front was.",False,False,True,True,1.0,active,0.0,0.0,0.0,1.0,neutral,0.0,0
C001,caregiver,60,"“The conductor,” he said.",False,False,False,False,0.5,active,0.0,0.0,0.0,1.0,neutral,0.0,0
C001,caregiver,61,“But he's not playing an instrument.,False,False,False,False,0.5,active,-0.1511,0.0,0.242,0.758,negative,0.1511,0
C001,caregiver,62,Why is he there?,False,False,False,False,0.5,active,0.0,0.0,0.0,1.0,neutral,0.0,0
C001,caregiver,63,"He just seems to be waving his hands all the time,” I said.",False,False,True,False,0.8,active,0.0,0.0,0.0,1.0,neutral,0.0,0
C001,caregiver,64,“Don't be fooled.,True,True,False,False,0.0,passive,0.2924,0.522,0.0,0.478,positive,0.2924,0
C001,caregiver,65,The conductor plays a very important part.,False,False,False,False,0.5,active,0.4754,0.45,0.0,0.55,positive,0.4754,0
C001,caregiver,66,He brings the orchestra together.,False,False,False,False,0.5,active,0.0,0.0,0.0,1.0,neutral,0.0,0
C001,caregiver,67,"See, his movements have a purpose.",False,False,False,False,0.5,active,0.0,0.0,0.0,1.0,neutral,0.0,0
C001,caregiver,68,Right now he is guiding the violins.”,False,False,False,False,0.5,active,0.0,0.0,0.0,1.0,neutral,0.0,0
C001,caregiver,69,"Not playing an instrument myself, but wanting to be part of the music, I considered my father's words.",False,False,True,False,0.8,active,-0.0762,0.0,0.071,0.929,negative,0.0762,0
C001,caregiver,70,"I could do that one day, I thought",False,False,True,False,0.8,active,0.0,0.0,0.0,1.0,neutral,0.0,0
C002,caregiver,0,"The sirens blared, and the flashing lights painted the road red as ambulance 43 weaved its boxy way to the Denver county jail.",False,False,False,False,0.5,active,0.0,0.0,0.0,1.0,neutral,0.0,0
C002,caregiver,1,"My partner and I threw open the back doors and wheeled out the bright white bed that glowed in the dark silence that always seems to surround prisons, like lips tightly sealed around a secret.",False,False,False,False,0.5,active,0.6597,0.141,0.0,0.859,positive,0.6597,1
C002,caregiver,2,"As we prepared to walk into the front of the jail, I caught a glimpse of the full moon filling the circumference of one of the wheels of razor wire.",False,False,True,True,1.0,active,0.2263,0.061,0.0,0.939,positive,0.2263,0
